,Unnamed: 0,c_arm_lateral_m,c_arm_vertical_m,c_arm_wigwag_deg,c_arm_horizontal_m,c_arm_tilt_deg,c_arm_orbital_deg,table_vertical_m,table_trend_deg,table_tilt_deg,table_longitudinal_m,table_transverse_m,quat_w,quat_x,quat_y,quat_z,Tx_m,Ty_m,Tz_m
501,501,0.21,0.04,-2,0.05,59,-46,0.35,29,-10,0.46,0.02,0.914763781260128,-0.1325743852944229,0.22259500274801033,-0.3099721303764127,-0.07424904218114037,-0.0018038605524173246,-0.3426531645527259
502,502,-0.01,0.28,-10,0.05,162,-22,0.21,-16,18,0.69,-0.11,0.012169016256487008,0.06022774866019695,-0.9945469058015394,0.08426734536733277,0.3607428089136966,-0.31075078215603513,-0.7369167152773959
503,503,-0.36,0.35,-9,0.03,126,24,0.15,-14,3,0.18,-0.06,0.3471099132188827,0.17602911707444213,0.9211542458980885,-0.001820261271345827,0.6135135599784547,-0.16131810560871762,0.12761723527497393
504,504,0.4,0.43,1,0.1,-7,-5,0.21,4,7,0.19,0.05,0.9898817419723114,0.007049541158937987,-0.09597975264637439,-0.10427045584081517,0.5248645657113107,-0.0017814912442815078,-0.16819759491694963
505,505,-0.49,0.07,0,0.0,253,4,0.1,-17,17,0.04,0.08,0.7025613967450165,-0.12885997584859146,-0.6952662127734244,-0.08004676010739721,0.4744301045519832,-0.17404779083972288,0.6500099953750984
506,506,-0.43,0.03,-3,0.08,82,-37,0.04,-27,18,0.1,-0.05,0.5093320703686538,-0.1572225715678242,0.7988429832582289,-0.2787683503962996,0.562501141005521,-0.26227912903853,0.3342611680751772
507,507,0.13,0.25,-6,0.13,74,-4,0.34,2,14,0.37,0.05,0.7929210621197864,0.010074292131002664,0.5883404938229456,-0.15820923238882625,0.21807762306671497,0.01817541781031129,-0.3092742407735474
508,508,-0.03,0.41,3,0.01,43,-47,0.02,29,9,0.28,-0.11,0.883289415170575,-0.01963937053252005,0.12208499249501989,-0.45222710973602726,0.33684633984896073,-0.24709509373428573,0.503052995631436
509,509,0.07,0.2,-8,0.06,77,62,0.19,19,-7,0.54,-0.04,0.7484032054202852,0.1819125701316943,0.4505365170768295,0.4514613003625046,0.26135656616167857,-0.026039466047447002,-0.346521838399859
510,510,-0.24,0.43,-6,0.12,30,-60,0.33,-30,-19,0.18,-0.08,0.8100702142908807,-0.3579869590239097,0.3519937874532886,-0.3028728424303329,0.5283594001935624,0.17456853623850077,-0.07739312361870643
511,511,0.32,0.25,0,0.14,176,93,0.11,16,16,0.47,-0.07,0.1358984802646969,0.8017472743248558,0.5718807729812384,0.10809853222311402,0.4049328828217089,-0.14716771061396994,-0.2914985103937199
512,512,-0.34,0.08,-10,0.08,-23,-100,0.24,-6,-4,0.31,0.01,0.6754794560882588,0.0640828959185023,-0.15714632873230377,-0.7175833876417202,0.19790410104882816,0.011781326600491804,0.07695296250980552
513,513,0.01,0.38,-2,0.1,245,-73,0.16,5,-10,0.21,-0.06,0.43372488217420785,0.5662611320369213,-0.6551489115949835,-0.24902000032756907,0.4852144364646582,0.06758505006956583,0.1277973470805161
514,514,0.37,0.05,-3,0.03,72,81,0.27,20,-8,0.49,-0.05,0.6540437862623577,0.24604643127597844,0.36308317851481087,0.6163266056138875,0.10031829408531068,-0.06940676032347604,-0.5220703707251688
515,515,-0.4,0.44,8,0.12,248,-40,0.03,-20,-7,0.04,-0.01,0.6463306055990563,0.3121566571278675,-0.646757355288899,-0.2579145072624282,1.0093554874553727,0.1556655395965847,0.5931610821262572
516,516,0.18,0.41,8,0.11,166,-14,0.09,23,17,0.4,0.03,0.32360374398537345,0.019292594370419323,0.9458326784353396,-0.01757717511259454,0.3823288841853656,-0.09724785472944375,0.2440010951362569
517,517,-0.11,0.22,7,0.09,-86,75,0.19,17,11,0.7,-0.03,0.5452613641020075,-0.4959463033739949,-0.6056082963995217,0.29994316181462827,0.11166138204497544,-0.06793549218927275,0.05166431773545965
518,518,0.48,0.32,8,0.12,103,66,0.32,-25,11,0.06,0.08,0.36762238007844494,0.6005754458779707,0.6679429790430753,0.24086323135961984,0.33068205005132056,0.026065325777651527,-0.15144156201344827
519,519,-0.5,0.38,-6,0.01,146,33,0.15,-21,12,0.38,0.12,0.11961491191475926,0.35737588115883206,0.9259306446673967,-0.02504383515741339,0.729355811027828,-0.13119389917820024,0.03351245652258944
520,520,-0.49,0.09,2,0.12,53,93,0.23,-8,2,0.47,-0.01,0.5990682612613935,0.3850327038321137,0.3309479229023437,0.6191449811276895,0.30039780686158757,0.02005776575224938,0.3797488232104762
521,521,0.33,0.15,-8,0.05,132,32,0.21,4,10,0.38,0.09,0.4416097713947713,0.2969187529961636,0.8464171292104514,0.01995262656892512,0.24689286702120938,-0.0118694289193495,-0.550948585749836
522,522,-0.46,0.33,4,0.12,91,66,0.16,-16,-18,0.63,-0.07,0.4275542050048531,0.3520527777018209,0.7226508568635891,0.4135601317455791,0.6726281250510595,0.22420857187817833,0.09544324667421758
523,523,0.08,0.14,7,0.15,99,-68,0.21,23,10,0.43,-0.02,0.644859220390425,-0.2720358344230503,0.5518141759791494,-0.453491130955899,0.018594153204672947,0.022757074007311084,0.13250931619892287
524,524,-0.09,0.13,-4,0.15,109,78,0.07,-25,-15,0.45,0.08,0.28573689148629006,0.45855592840951415,0.7979324934174972,0.26717901360843577,0.4461207394415525,0.2998172257761418,-0.3588541287720619
525,525,-0.44,0.4,7,0.09,-55,-5,0.11,-17,14,0.69,-0.05,0.9248894864249431,0.023740916525890776,-0.3278341984888534,-0.19115581362931866,0.8435583272202043,-0.28201074589658903,0.04394113030711952
526,526,-0.13,0.36,4,0.0,-60,6,0.07,-7,-8,0.03,-0.08,0.8900700370164979,0.03688024491055789,-0.445350181423971,0.08987987898536261,0.6755570797293795,-0.050429460625589284,0.46459569356718666
527,527,0.34,0.32,8,0.08,-51,10,0.29,11,0,0.16,0.05,0.8539048215015512,0.02052102767645664,-0.5175413947112788,0.050757738324419745,0.27850976516178805,0.03962354758600184,0.1487070256106475
528,528,0.3,0.14,7,0.05,-50,-54,0.33,-18,-4,0.26,0.1,0.855146694517714,0.17764823604150512,-0.21609124650458045,-0.4364284686759857,0.20032934325204288,0.08435835094624311,-0.10322590354717343
529,529,0.26,0.18,-2,0.0,190,90,0.06,24,-7,0.62,-0.02,0.09324070674733308,0.6614024246960022,0.7398788207787306,0.08020183149144351,0.35443662052203495,-0.0406860571988783,-0.37435662273117526
530,530,-0.13,0.4,-6,0.03,77,-31,0.27,-18,1,0.43,0.1,0.6414254060685654,-0.23455869059018453,0.6993897969579342,-0.21073580860768257,0.5269016081091917,0.0356677609639553,-0.29491032195082056
531,531,-0.09,0.08,10,0.07,-84,81,0.17,-5,10,0.52,-0.11,0.6612752266992483,-0.4083854409813366,-0.4884749978963119,0.3966466722141196,0.27438680292350015,-0.20531140740257459,0.1618357958474989
532,532,-0.13,0.0,6,0.05,214,55,0.2,2,12,0.43,-0.06,0.2743487694886867,-0.516342589006592,-0.8094102698071631,0.05457195789696897,0.07469932032574045,-0.1313727571868153,0.21892644107919337
533,533,0.17,0.09,9,0.15,270,-15,0.0,20,17,0.44,0.13,0.5372530963382284,0.05000803596083531,-0.817624160603253,-0.2008707017266375,0.20565377246294658,0.09373671574396569,0.1396898927644058
534,534,-0.03,0.39,8,0.1,-25,-12,0.33,-7,-18,0.34,-0.11,0.9849383752517364,0.10515900049714241,-0.1333810971263951,0.03236455623472577,0.41639928206128174,0.06770244267640324,0.20053341434262845
535,535,-0.18,0.45,-5,0.0,240,47,0.17,-11,10,0.06,0.02,0.5375757689918911,-0.40398924987813206,-0.706146526057369,0.22172519548484,0.6374396276599332,-0.19198350657436758,0.19935390115588272
536,536,-0.18,0.08,1,0.11,99,26,0.23,-16,-9,0.37,0.07,0.5106734378692225,0.1311204449293398,0.8331297068359994,0.16707770756065218,0.3069651753256536,0.16964496324109546,0.09287596586611419
537,537,-0.28,0.36,-6,0.05,103,94,0.32,23,13,0.38,0.12,0.611991314495005,0.5018680924933643,0.40092038779156397,0.46136524725298733,0.0988727576093098,0.03971458957599161,0.22263293781523302
538,538,-0.22,0.42,0,0.12,258,95,0.35,-11,-16,0.61,-0.12,0.3969993788178316,-0.4536830763103077,-0.5503615806796996,0.577637680557297,0.45424338077445675,0.08574020653011827,-0.14297947815372303
539,539,0.06,0.41,7,0.03,6,30,0.26,9,-7,0.58,0.02,0.9437020587008447,0.05410206833491773,-0.03767058883212133,0.32416094358005654,0.3741140473833562,0.021385908910591,-0.02241818268693052
540,540,0.36,0.35,-10,0.11,123,14,0.07,5,-16,0.35,0.05,0.5158700899638297,-0.05310345005292017,0.853108669926066,0.05712854951918317,0.5779126181919185,0.255353573190672,-0.5785244625324095
541,541,-0.12,0.3,-6,0.05,-31,-20,0.36,-7,20,0.62,-0.07,0.9237260623370095,-0.049484618799456426,-0.20762675507137587,-0.3180763506458261,0.25598215422771253,-0.23520735152602845,-0.3573417306832427
542,542,-0.49,0.44,8,0.11,206,-74,0.32,-14,4,0.58,-0.08,0.22149341164029931,0.5436454804405761,-0.763693802441761,-0.26862992444722295,0.683213620396544,-0.11538883390051158,0.3227575111958599
543,543,-0.01,0.33,-5,0.07,218,3,0.05,17,-15,0.4,-0.09,0.17376800594713418,0.08264944641632378,-0.979043147942989,0.06669530404844601,0.4630623089014856,0.049510631460520704,0.012965925080971108
544,544,0.43,0.29,10,0.07,235,-98,0.05,-28,17,0.0,0.1,0.28319528791784476,0.5000282014215932,-0.5541295014692387,-0.602256359273747,0.5493326620751198,-0.1286910339321179,-0.1409290280525688
545,545,0.41,0.08,-7,0.09,-72,2,0.24,3,11,0.25,0.04,0.7921454745017277,-0.11877350148384655,-0.598024612671393,-0.02765800446398521,0.15613989467874845,-0.0065812407896335134,-0.4904090008352947
546,546,0.21,0.14,-6,0.03,32,1,0.12,12,2,0.4,-0.08,0.9832495739728463,-0.04396907550583266,0.1746210133511856,-0.02818682986048032,0.3122358647758904,-0.1478096309647985,-0.33118365390310145
547,547,-0.06,0.31,-5,0.15,80,12,0.1,-20,-9,0.18,-0.04,0.6353970258634436,-0.017728932779883067,0.7660419313451602,0.09558275936252199,0.5714991098139188,0.1359328884921862,-0.14492824623362704
548,548,0.06,0.36,7,0.01,-88,19,0.06,27,19,0.52,-0.11,0.5362974362694052,-0.2243338333814055,-0.8130801641348987,-0.03098447581666311,0.2483824696561885,-0.3106068979140324,0.2192409342960404
549,549,-0.36,0.15,-5,0.1,-6,-75,0.15,-23,-6,0.12,0.11,0.8204840659919155,-0.12801511727163864,0.08486198711283653,-0.5506509514625064,0.5145029794711069,0.19360255349147248,0.24102028694508648
550,550,-0.45,0.32,3,0.0,96,-89,0.2,4,18,0.16,-0.1,0.42917654002917394,-0.40388111984935765,0.5951960496723285,-0.5462867387849268,0.3174214279699745,-0.3166496005378916,0.7532130675086959
551,551,0.46,0.33,9,0.14,217,-29,0.35,13,-15,0.52,0.03,0.19705990741603116,0.39603477927250086,-0.8917056250616073,-0.09583801296591574,0.2127505023685491,0.1601908091416515,-0.29075417923797947
552,552,0.45,0.26,-4,0.06,45,-57,0.12,4,-16,0.03,0.13,0.8717519230264631,-0.23371266818226064,0.2624552132774424,-0.3413857560799576,0.4432376175427667,0.26621315976378135,-0.20006714852495605
553,553,0.06,0.32,0,0.02,71,-31,0.31,9,7,0.67,-0.09,0.8104676052101725,-0.10708243699007315,0.5037832572598276,-0.2790663761506093,0.252242941393628,-0.18866303931707162,-0.31848350573733886
554,554,-0.23,0.2,-5,0.12,161,13,0.12,-13,16,0.31,0.12,0.05117063667052504,0.23815871981450454,0.9689109804745959,-0.04328396972098071,0.4753487875617868,-0.00457815943745965,0.006053571155359205
555,555,0.47,0.42,-6,0.13,145,33,0.21,-21,7,0.3,-0.07,0.12897807018956353,0.31591706794473456,0.9398135956840074,-0.017648483189072795,0.3946171515481157,-0.08431468255694119,-0.7966035020951125
556,556,0.44,0.03,0,0.12,163,6,0.3,-17,2,0.5,0.06,4.1735027853699817e-17,-0.0697564737441253,-0.9975640502598242,-5.955936266621745e-17,0.023683830061684064,0.10070829094905798,-0.6291842229383035
557,557,-0.36,0.14,6,0.04,136,19,0.27,20,-14,0.23,0.12,0.49286132318806875,0.047811543674323435,0.8456051942442796,0.19938311830212366,-0.1398285064892848,0.06530361107839977,0.6811979610609709
558,558,-0.08,0.31,-3,0.14,164,63,0.29,-7,6,0.26,-0.08,0.08116737663330807,0.5601657144703553,0.8242601315822481,0.014881692995021633,0.37879021334121976,-0.06722478187549608,0.02882714433037506
559,559,0.42,0.06,-8,0.04,253,-1,0.25,28,-14,0.17,-0.11,0.3742743911883906,0.06693140238126703,-0.9207700224966358,0.0873008198551494,0.20731335208376656,-0.0848956389536284,-0.323614332678495
560,560,0.37,0.34,4,0.09,261,3,0.15,25,-18,0.64,-0.04,0.4651565178877682,0.14281111010703482,-0.8712225644459123,0.06485093597482695,0.35709395025930235,0.1202182839571766,-0.3087186719351592
561,561,-0.21,0.42,5,0.14,-34,-73,0.07,14,3,0.43,0.11,0.7145351918347879,0.2682605870630837,-0.3082230828040221,-0.5678681610065645,0.45758741876726183,0.13961802459213346,0.434430642297653
562,562,0.31,0.41,-8,0.01,176,-7,0.34,23,-4,0.64,-0.02,0.23099593269613278,-0.08151036748078327,0.9666390681536481,-0.07487223110097888,0.393157800571324,-0.06540487079156798,-0.6130489796747485
563,563,0.0,0.18,0,0.04,156,2,0.05,23,8,0.58,0.06,0.39820259718463824,0.07992705192725814,0.9135703839340823,-0.020868913823186227,0.23259266746780494,-0.02208681838393245,-0.05080323004190607
564,564,0.19,0.38,-5,0.05,251,52,0.29,16,-3,0.26,-0.08,0.394576292318806,-0.39480943656159717,-0.7939258659169335,0.2410742163108816,0.3609699393792699,-0.08678220763306532,-0.10017454267333395
565,565,-0.43,0.32,7,0.07,239,-63,0.2,-18,3,0.66,-0.06,0.48996710581756403,0.4090895367383433,-0.6658045641551908,-0.3863706361747537,0.717672305304048,-0.11957785165460555,0.09756815934430585
566,566,-0.46,0.22,8,0.09,19,83,0.14,-13,8,0.01,0.11,0.7585400239116723,0.24494551644500462,0.14304050831623874,0.5866499288998521,0.6135980642869765,0.00923190866650625,0.8833459527324378
567,567,0.37,0.39,-8,0.14,120,-53,0.16,-1,-14,0.43,0.03,0.4429849643217229,-0.5087342795459092,0.704468493270204,-0.2206306782598359,0.5056738525569273,0.23155236584633299,-0.6893832440062795
568,568,0.16,0.17,8,0.11,239,8,0.17,16,14,0.02,-0.03,0.36221104251617076,-0.1354147342433449,-0.9192010809845271,-0.07440015555111419,0.16297200625939334,-0.07564288423651822,0.4891027781183671
569,569,-0.31,0.15,8,0.14,113,45,0.15,30,-2,0.63,0.1,0.6587863532313606,0.26285340017570474,0.6068993803428614,0.3585830070592395,-0.2156935098811963,0.1450294202551956,0.33754304675792035
570,570,0.36,0.0,3,0.01,-33,-19,0.19,-23,16,0.47,0.05,0.946066724811527,0.025385642861720042,-0.08649099629469784,-0.31117941593369947,0.12088533700350168,-0.0831101122604303,-0.4963956594328474
571,571,0.32,0.14,10,0.09,72,-50,0.15,30,20,0.38,0.0,0.8006841317745328,-0.039419543784699224,0.3590355627560576,-0.47795866491644434,0.055075087024841096,-0.06618597539597881,0.07839217687792027
572,572,0.48,0.27,6,0.14,203,32,0.1,-17,5,0.09,-0.04,0.34431516634730286,-0.29516270602269584,-0.8907805885174622,0.028913427971658898,0.48405709844908174,-0.03486849340310938,-0.22214381602159294
573,573,0.02,0.14,-5,0.0,-34,-4,0.19,22,16,0.29,0.04,0.8694977748310544,-0.09216922748046195,-0.4619208730495441,-0.14868611270272294,0.10885018102070365,-0.10384726444892856,0.025974151978048476
574,574,0.33,0.19,8,0.01,239,50,0.16,-22,-2,0.41,-0.1,0.6112971293382427,-0.28831110275100497,-0.701975976593558,0.2245490057400475,0.4153763207952025,-0.16174645797650555,-0.36507507151838725
575,575,0.26,0.34,0,0.01,125,-36,0.25,23,-17,0.36,-0.08,0.6206896404462345,-0.34676082846922024,0.6954946248880862,-0.10386782386208099,0.30683361997200453,-0.023588442742920934,-0.08576376040115452
576,576,-0.39,0.42,4,0.12,215,8,0.01,-2,-5,0.45,0.05,0.31886096823705157,-0.014900501064142944,-0.947680658905132,0.002650799898575767,0.7441984623345782,0.1650683733995406,0.3738378115122382
577,577,-0.13,0.2,-4,0.02,223,8,0.35,-23,-13,0.45,0.12,0.5289294737992533,0.030505545424638104,-0.8376262739028536,0.13298589666732355,0.30781497157781945,0.1539047373919975,-0.2113234994251183
578,578,0.29,0.42,5,0.14,-41,82,0.02,17,16,0.47,0.0,0.7377589809367087,-0.3375506731858826,-0.349961591721603,0.46829276462344455,0.5897097252620724,-0.13664380890580508,-0.04129557036953968
579,579,-0.41,0.15,9,0.1,-78,83,0.1,-25,-9,0.17,0.13,0.6639266592354653,-0.228693859288712,-0.3846447222491078,0.5991234827028362,0.7535227560881804,0.27055214763292224,0.5465493385146288
580,580,-0.39,0.1,3,0.06,11,-61,0.0,-5,-13,0.43,-0.07,0.9049021208287585,-0.06285057199286796,0.1268425835075704,-0.40138873468111835,0.4729146772918918,0.044679049913134206,0.3438777724090438
581,581,-0.2,0.37,1,0.15,83,-30,0.17,9,6,0.61,-0.01,0.7614583908027224,-0.1191901221316254,0.5899018590098225,-0.24081243863042545,0.4091761712872082,0.011643867845428035,0.05647995552216767
582,582,0.19,0.13,7,0.14,-32,80,0.17,-17,5,0.69,0.08,0.8005106462486818,-0.0470606516503504,-0.13358476413701437,0.5823427780089838,0.37646315701632815,0.09129215722783202,-0.45622098370930386
583,583,0.15,0.42,5,0.13,-54,-16,0.04,-14,-19,0.26,-0.11,0.9391150379294633,0.13723797092336,-0.31500579069097223,0.0001915795841271121,0.6985662360933542,0.21657749659109538,-0.12070040277382782
584,584,0.01,0.35,-8,0.15,259,2,0.24,12,3,0.26,0.09,0.5509981958206586,-0.08599146605915417,-0.8288925450827889,0.04408633204921406,0.3777285490209388,0.12398651980406594,-0.04502587507331199
585,585,-0.24,0.06,10,0.11,193,-20,0.09,5,-4,0.14,0.08,0.05683434956236741,0.21995221171757004,-0.9692171006985466,-0.09491624193927577,0.19694569029573938,0.11133068419946102,0.7591934867704833
586,586,0.05,0.18,2,0.04,45,74,0.26,14,-10,0.59,0.13,0.7102574244433574,0.1544748771281661,0.2185471106991591,0.6510829929927336,0.12538276493594425,0.13324852685087896,-0.16841347869574763
587,587,-0.13,0.2,6,0.13,-17,14,0.36,-28,-14,0.16,-0.05,0.9693502793246889,0.04835211878726212,0.09571439924747317,0.22104493289515903,0.42207666066910593,0.1276494059641906,0.291032180456128
588,588,0.39,0.22,-7,0.03,215,47,0.36,1,-5,0.04,-0.1,0.23683970943376395,-0.35968178175440185,-0.8843615491218598,0.18011279339373262,0.17691548765563136,-0.13239287982121772,-0.261721054936325
589,589,-0.14,0.44,7,0.05,-78,7,0.17,7,-11,0.19,-0.01,0.7323877578913689,0.07320406811903063,-0.6721847873709557,0.08010585577060556,0.4823075227178959,0.06595149224689889,0.5663355470489905
590,590,-0.11,0.4,3,0.03,247,14,0.31,-6,-20,0.37,-0.04,0.5752313272099285,0.05532379868977998,-0.8017847932338734,0.1522804742366921,0.4413403039889273,0.10691237714286816,0.11457728846403989
591,591,0.32,0.14,4,0.07,235,0,0.21,-26,7,0.59,0.1,0.6457791086889711,-0.03767155708357822,-0.7590587508693297,-0.07334854665546875,0.28469655187484955,0.043874493482381816,-0.6187088124979139
592,592,-0.47,0.38,5,0.12,79,39,0.26,-30,18,0.55,-0.06,0.5671391881145129,0.422974589038224,0.6958383279508282,0.12350975543394274,0.8293800438748231,-0.3211399154759451,0.010718207186894452
593,593,-0.17,0.41,-9,0.11,-64,95,0.07,13,9,0.45,0.03,0.5475627598187374,-0.5326347300416251,-0.32627303282726117,0.5567954529832958,0.5534699114135355,-0.0581320405708603,-0.021300105767742883
594,594,-0.13,0.29,-9,0.02,-17,-96,0.21,-29,-11,0.63,-0.09,0.7516892960491661,-0.12672617691666455,0.003928111393511664,-0.6472157663639504,0.47382295925746476,-0.053553519364894164,-0.6619756799308868
595,595,-0.09,0.09,6,0.09,-90,-43,0.31,-17,-10,0.52,-0.05,0.7577488297168912,0.2929047542827609,-0.5177074005238742,-0.2683329339161525,0.26678497958788316,0.02106093503578843,0.0019768248516400244
596,596,0.03,0.29,9,0.0,202,-90,0.36,5,15,0.06,0.08,0.02917735831034494,0.6147497049776157,-0.7710702376485921,-0.16334678020857368,0.152070677987044,-0.08430680150585279,0.5219837678710424
597,597,-0.44,0.2,2,0.13,219,52,0.24,-30,12,0.18,-0.07,0.5381173711796433,-0.4354925966050189,-0.699517818067693,0.1773434953493988,0.6632994820985477,-0.17703072098806039,0.3617262023247231
598,598,-0.36,0.17,1,0.15,224,16,0.2,-27,3,0.58,-0.05,0.5779251649925646,-0.13309052652062872,-0.8031327288286495,0.057159734980365084,0.5996458459115042,-0.011815601762914962,-0.09969355825136078
599,599,-0.32,0.45,0,0.07,116,0,0.29,-5,-9,0.09,0.0,0.4909055826057231,-0.06828732086502369,0.8676726797958457,0.03863510724080418,0.5236017563247651,0.0937064898336939,0.5275813988699666
600,600,-0.32,0.11,0,0.11,185,58,0.28,-3,-4,0.61,0.09,0.05979296830574962,-0.45288460169966405,-0.8888360770772764,0.03592723994968795,0.17423588022992753,0.14426191023661916,0.046452614170700846
601,601,0.44,0.46,-2,0.09,144,53,0.2,-26,19,0.19,0.09,0.08770853022249704,0.5781873963775662,0.8110990902841446,0.01117202473025,0.43437237316381316,-0.07915924185471779,-0.6195346893068777
602,602,-0.31,0.25,-5,0.09,-39,-54,0.34,25,7,0.49,-0.06,0.7327055077662998,0.1714002650860147,-0.5027688101095248,-0.42542697563556703,-0.050746059624492634,-0.05703083883696447,0.11312237732712427
603,603,0.34,0.12,1,0.07,-80,32,0.08,-20,-9,0.09,0.03,0.8134921298209944,-0.09418347118764844,-0.49106201237304126,0.29701536741132956,0.3479997544651923,0.09565176513075047,-0.21177967473140763
604,604,0.23,0.32,-7,0.1,251,4,0.32,14,-5,0.15,0.11,0.47126916461194995,-0.033587500615899483,-0.877504456793855,0.08223857121359317,0.30119080982450375,0.15822343124005545,-0.12506064443439793
605,605,-0.35,0.22,-2,0.01,-22,52,0.32,23,-5,0.05,-0.13,0.8118701545094865,-0.16857571717034092,-0.3439313806908101,0.4406362277132474,-0.08140478220156688,-0.19454477902634038,0.6629963003179037
606,606,0.27,0.41,-6,0.01,76,19,0.28,-12,-20,0.53,-0.05,0.6864080007098055,-0.050435371290454896,0.6932926377061756,0.21364842238307163,0.4159670450103411,0.05982227750508762,-0.7195019468021043
607,607,-0.25,0.34,0,0.14,163,23,0.03,-8,-2,0.57,-0.04,0.07659930188133558,0.18167375418508713,0.9802238608286709,0.01698165638926747,0.7006976186171882,0.05300059884222508,-0.07653038144771365
608,608,-0.03,0.46,-7,0.14,162,-85,0.36,2,10,0.6,0.02,0.07252451897042712,-0.6051353420087415,0.7746710088427916,-0.16863048377610482,0.40320083931149076,-0.015138045773846143,-0.4022071962421968
609,609,-0.13,0.42,-3,0.14,-37,-68,0.31,-9,-1,0.66,0.02,0.8144838790379885,0.11712096389826519,-0.21295397841318622,-0.5268294730562905,0.48189727877648536,0.09291905088436181,-0.35264537643880567
610,610,0.07,0.37,-9,0.09,83,-100,0.21,14,-18,0.49,-0.03,0.5815069900460273,-0.5107843485161264,0.246258598043676,-0.5833572428007805,0.4087148593644422,0.1304804761187912,-0.32324936913070684
611,611,-0.24,0.36,-7,0.04,65,72,0.12,-2,-16,0.42,-0.11,0.6208864805997015,0.21267583665046386,0.5108596000770824,0.555239980299172,0.5524250917876252,0.028727883307593904,-0.04063899629316294
612,612,0.09,0.09,-4,0.12,201,6,0.17,-20,0,0.57,-0.11,0.3476879607262997,-0.049295906374474945,-0.9348027601538915,0.053167614102684474,0.2774746567919101,-0.06894624065871358,-0.5477523541772751
613,613,0.03,0.43,7,0.11,262,82,0.18,-27,-6,0.57,0.01,0.622149632535771,-0.3346363012449665,-0.47410158682425485,0.5255245626946627,0.7380843777036787,0.12121220752778772,-0.4151372362763156
614,614,-0.04,0.06,-9,0.11,-12,39,0.28,12,-13,0.13,-0.05,0.8764431039051807,-0.12307397208751836,-0.18430897578754696,0.42746986379837204,0.03955635463037588,-0.0022034000826414157,0.04353241442821462
615,615,-0.03,0.22,7,0.14,200,31,0.32,7,-17,0.47,0.12,0.12736799394073023,-0.10671482995701198,-0.9860633442651412,-0.00827165542112307,0.10540741771966033,0.2379864503404352,0.1429502973781268
616,616,0.36,0.16,-2,0.11,-50,-49,0.26,27,8,0.61,0.03,0.6893249402879481,0.2019570076293274,-0.588992601901702,-0.3703136625503949,0.18553628121881283,0.02422404939294709,-0.5336867520367805
617,617,-0.05,0.24,4,0.08,235,91,0.01,-3,3,0.32,-0.07,0.37032007925378957,-0.6288328521517583,-0.6073147716753379,0.31400804298788926,0.5675864689200115,-0.1038339471453329,0.1559524690606797
618,618,0.28,0.28,4,0.09,250,-21,0.35,6,5,0.4,0.03,0.5098365098438299,0.1392307580404552,-0.8362930583802882,-0.14592960546334058,0.2137753938453233,0.01371755568975419,-0.18481249982836273
619,619,0.1,0.05,-4,0.1,229,36,0.22,-25,19,0.65,-0.01,0.5897962731219641,-0.3749803576947201,-0.7046163579283924,0.12266163089698778,0.18781296134741976,-0.08678352854693117,-0.6306893616891299
620,620,-0.06,0.37,2,0.07,243,78,0.31,0,-1,0.26,0.11,0.4125765721581473,-0.5235636494656993,-0.6728581391756494,0.32081708434787864,0.3700323726434066,0.1122471363776747,0.20479221802896613
621,621,-0.42,0.43,5,0.14,166,41,0.13,22,9,0.55,-0.02,0.2847696330751744,0.39879364566150755,0.8624154565210639,0.12692306572014259,0.20310689022771378,-0.008515667122123816,0.5587888344185613
622,622,0.43,0.18,-8,0.02,175,29,0.12,13,6,0.56,-0.13,0.16679390730745422,0.30092088015027596,0.9382172843665751,-0.037077536197876314,0.4021876386430687,-0.2529590157060708,-0.7396253906486101
623,623,-0.43,0.4,10,0.15,199,87,0.23,-14,-9,0.24,-0.06,0.2540278806315146,-0.5981542126771383,-0.7446998658866305,0.15199830086842503,0.7148166666499106,0.11960950000786563,0.6530394059361048
624,624,0.03,0.33,9,0.02,172,37,0.15,5,4,0.7,-0.07,0.08593092717682353,0.34880732062500663,0.9270629755858852,0.10725468815291837,0.4283386132294442,-0.18083875928284288,-0.09311049964100265
625,625,-0.14,0.34,8,0.13,-27,-26,0.03,-23,-6,0.21,0.0,0.9766911431831725,0.07036793952382098,-0.01603980535486677,-0.20215214210810942,0.8530334723874414,0.13952037887180646,0.16456472248011228
626,626,0.14,0.14,-2,0.07,55,100,0.35,23,15,0.64,-0.03,0.716028634340385,0.22514735102287398,0.15951626184172055,0.641222447626461,-0.0011627094731561094,-0.06264989187659875,-0.4229589911691891
627,627,-0.16,0.17,6,0.07,81,-35,0.15,23,-6,0.45,-0.07,0.8559265451054549,-0.13937049262264978,0.4647694628515051,-0.17875950763716864,0.013688146337532459,-0.07172643463295958,0.3345608738971459
628,628,-0.46,0.03,10,0.03,90,-63,0.11,28,13,0.27,0.09,0.7188809869040866,-0.1761533961989132,0.4839774784167578,-0.4668467715008339,-0.3463775109541114,0.0768414941358555,0.8288435700065786
629,629,-0.38,0.16,-3,0.09,259,-8,0.16,-15,-17,0.39,-0.09,0.7271076002733192,0.1340180237575491,-0.6686064904235284,0.0794925650386768,0.4474378706600707,0.0907753258653563,0.12692762920390638
630,630,-0.1,0.34,-9,0.01,104,-57,0.16,8,-19,0.66,-0.12,0.6095483347966749,-0.4906882429802451,0.5567894960647898,-0.2786778297954077,0.44492986013011804,-0.02077275274506185,-0.3666710637089517
